Name,CW_M11977_Mandible,CW_NR1328_Mandible,CW_NR1609_Mandible,CW_M8752_Mandible,NHNW_B71_Mandible,CW_JM18942,NHNW_JM8466_Mandible,NHNW_SNC2_Mandible,SHNW_NR1326_Mandible,SHNW_M8827_Mandible,SHNW_M8774_Mandible,SHNW_M8951_Mandible
Y Symphyseal groove CUR 4,85.97840576,-154.328418,-152.8796509,78.52854004,-39.18535156,-47.02550049,-32.54543152,-32.51223755,-130.859082,71.57230835,-224.6384766,68.6869751
Z Symphyseal groove CUR 4,-823.0485352,-556.8538574,-891.394043,-800.6034668,-1160.665039,-1146.367578,-1193.650977,-1430.989063,669.9323242,-765.3898926,-512.6709473,-523.3510254
X Symphyseal groove CUR 3,69.25028076,3.455441666,1.941059113,-64.17895508,-3.746368027,1.315492153,-3.735150528,-2.567959785,-1.379266548,66.38688965,77.55591431,-56.87706299
Y Symphyseal groove CUR 3,89.6480835,-149.8203735,-148.5705566,83.26126709,-35.79199219,-44.16315308,-28.10261841,-29.63610229,-127.0303101,75.12770996,-222.0123047,72.53223877
Z Symphyseal groove CUR 3,-827.406543,-563.0258789,-896.5861328,-804.7740723,-1166.710742,-1151.947949,-1199.26543,-1435.604004,665.1793945,-769.9348145,-518.2327637,-528.5406738
X Symphyseal groove CUR 2,70.25267334,3.323219299,1.521365643,-65.29929199,-4.403444672,1.516878128,-3.087065125,-2.695701599,-1.271392822,67.36394043,78.58851318,-58.83944702
Y Symphyseal groove CUR 2,94.11115723,-145.445874,-145.4790771,88.12557373,-32.87359009,-41.12861023,-24.00140076,-26.27417297,-122.6791626,79.08532104,-218.4666016,76.7281189
Z Symphyseal groove CUR 2,-831.8589844,-569.5618652,-902.5386719,-809.0199707,-1172.89502,-1157.648633,-1205.314355,-1439.973828,660.6236816,-774.5540527,-523.5327637,-533.9038574
X Symphyseal groove CUR 1,70.83887329,2.910350037,1.371008682,-66.29563599,-4.514549637,1.867847633,-2.39934597,-2.960120964,-1.302314186,68.14098511,79.41421509,-60.72711182
Y Symphyseal groove CUR 1,99.58568115,-139.7759766,-140.6640869,93.41140747,-28.11981201,-36.36852417,-19.53808136,-22.46962585,-118.0701904,83.40259399,-214.6715576,81.56168823
Z Symphyseal groove CUR 1,-835.8391602,-575.2263184,-907.6541992,-812.4835449,-1178.091699,-1162.172754,-1210.38916,-1443.997949,656.6065918,-778.7569336,-528.7898926,-538.6995605
X Superior midline CUR 9,61.43487549,4.108492279,1.879792976,-56.78842163,-1.510073757,1.468848324,-7.498378754,-1.97118969,-1.171899986,59.19855957,68.7097229,-48.9237854
Y Superior midline CUR 9,78.27115479,-162.9923096,-158.0999512,64.84969482,-44.26352234,-51.11137085,-40.24280701,-38.2472229,-133.7020508,71.25871582,-223.4143555,66.90209961
Z Superior midline CUR 9,-795.4095703,-529.0857422,-864.4358398,-775.1941406,-1132.364941,-1119.802832,-1162.644629,-1406.646777,697.5247559,-740.2641602,-484.0073242,-496.5117676
X Superior midline CUR 8,62.32345581,3.816836929,1.670273209,-57.76800537,-1.344810772,1.595780754,-7.803853607,-2.514154816,-1.001629162,60.04981689,69.61883545,-50.52063293
Y Superior midline CUR 8,84.42942505,-156.4644409,-151.7673096,72.13200684,-38.13596802,-45.9258606,-33.10312195,-32.56920166,-128.5109131,76.07234497,-218.8325684,71.53659668
Z Superior midline CUR 8,-799.0390137,-532.701416,-869.4033203,-779.1333008,-1137.26377,-1123.948633,-1168.237305,-1410.411719,693.372168,-743.9193848,-488.8612793,-500.4308594
X Superior midline CUR 7,63.23295288,3.566298676,1.623040771,-58.968927,-1.12757597,1.532914448,-7.025965881,-2.773736763,-1.03600626,61.0550293,70.67009277,-52.43358765
Y Superior midline CUR 7,89.28338013,-151.0325928,-146.362439,78.25197144,-32.66040955,-40.73587036,-26.3206604,-27.56327515,-123.1395874,80.36226807,-214.6679688,75.92808838
Z Superior midline CUR 7,-803.098584,-537.423584,-874.2197266,-784.1279785,-1142.771387,-1128.245117,-1174.17168,-1414.683301,689.1903809,-748.2474609,-494.2592285,-505.1895508
X Superior midline CUR 6,63.93399048,3.250538254,1.478086662,-60.03342285,-0.840521145,1.636964798,-6.68187561,-3.063794708,-1.224908161,61.98169556,71.44512329,-54.26929932
Y Superior midline CUR 6,92.93921509,-146.2421753,-141.6530762,84.34888916,-27.51394043,-35.60918579,-20.06380157,-22.8576889,-118.594165,84.26220703,-210.8716309,80.34910278
Z Superior midline CUR 6,-806.2642578,-541.9949219,-878.1206055,-788.0867188,-1147.549121,-1131.836621,-1179.141797,-1417.835547,684.763623,-752.2913574,-499.4115234,-510.3460938
X Superior midline CUR 5,64.6508667,2.846349144,1.244442081,-60.94839478,-0.583666611,1.556843662,-6.37403183,-3.332975006,-1.503496456,62.97902832,72.18652344,-56.17191162
Y Superior midline CUR 5,97.28389893,-140.0379395,-135.8691528,91.40858765,-21.57648315,-30.23626709,-12.97577209,-18.00316772,-113.3292603,88.91854248,-206.6570557,86.2746582
Z Superior midline CUR 5,-809.5489746,-546.7845703,-881.7598633,-791.117041,-1151.706738,-1135.98457,-1182.63457,-1420.798145,680.4566895,-756.8043945,-504.7432617,-515.2627441
X Superior midline CUR 4,65.35628662,2.407805252,1.023787117,-61.57720947,-0.497066927,1.622962952,-5.942722702,-3.165546989,-1.686229897,63.97183838,72.87091064,-58.06848145
Y Superior midline CUR 4,102.7216797,-133.0079346,-129.7678467,98.73673096,-15.67915802,-24.49798126,-6.229748535,-13.32193909,-108.1356567,93.67132568,-202.3497314,92.35158081
Z Superior midline CUR 4,-813.0683105,-551.6588379,-885.4018555,-792.9140137,-1156.327441,-1140.206055,-1187.180859,-1424.11709,676.2315918,-761.517334,-510.0283203,-519.4333496
X Superior midline CUR 3,66.24697876,1.829284668,0.930222607,-62.99307861,-0.75138936,1.824988747,-5.274664688,-3.221577072,-1.686886787,65.12523804,74.4038269,-59.94212036
Y Superior midline CUR 3,108.5092407,-126.3240356,-124.9915894,105.2231934,-11.80494385,-21.2436554,-1.675934219,-11.30389633,-104.6615356,96.96086426,-199.7449585,95.82336426
Z Superior midline CUR 3,-817.5541992,-558.4055664,-891.1813477,-797.4089355,-1163.449121,-1147.360449,-1194.825488,-1430.465332,670.4537598,-767.6773926,-516.6503418,-526.2560059
X Superior midline CUR 2,68.07132568,1.459190178,1.109887981,-64.74631958,-1.366670036,2.032736969,-4.216804123,-3.389968109,-1.787753868,66.56734009,76.09162598,-62.03422852
Y Superior midline CUR 2,111.2191528,-123.1346924,-124.5668091,110.5463867,-10.63877869,-21.06192169,0.637295914,-8.768453979,-102.7236694,98.709198,-198.2415649,98.89264526
Z Superior midline CUR 2,-825.0757813,-567.8616699,-899.2161133,-803.5615234,-1171.645801,-1155.62002,-1203.490918,-1437.510156,664.041748,-774.2625488,-523.8548828,-533.2957031
X Superior midline CUR 1,69.78546753,1.346393394,1.188288498,-66.63304443,-2.564203072,2.188443375,-2.97968998,-3.538493347,-1.676123238,68.3065979,78.42036743,-63.38287964
Y Superior midline CUR 1,112.3405396,-123.864917,-126.6922485,108.9377441,-13.81320801,-22.77159729,-3.918060684,-9.891939545,-106.0612793,96.32510376,-201.7748413,95.75467529
Z Superior midline CUR 1,-832.7008789,-577.063916,-907.1196289,-812.1393555,-1179.269434,-1162.880371,-1211.44541,-1444.065723,657.5804688,-780.409668,-530.3821777,-540.7181152
X PM / M1 R,48.18230286,-13.46853638,-16.56888733,-75.29718018,-20.22721863,-14.86771545,-25.12372131,-19.5796875,-18.0198761,45.80986938,55.05487061,-72.04284668
Y PM / M1 R,98.51854858,-139.255188,-133.2378174,91.99987793,-19.53301849,-27.54940491,-14.51469879,-16.92393036,-110.3199097,89.18981323,-205.2736328,86.17611084
Z PM / M1 R,-807.4837402,-539.8961426,-875.0499023,-778.2603516,-1146.181934,-1131.605957,-1179.902832,-1416.829395,684.4646973,-758.5444336,-505.0250488,-507.4028809
X PM / M1 L,78.67121582,19.67610168,18.87894135,-41.93581543,18.33518982,18.93428497,12.73450165,14.21058044,14.78625946,77.56113892,85.96967773,-38.04252625
Y PM / M1 L,98.72255859,-136.8134155,-131.3804932,95.2263855,-21.2420578,-29.56842346,-13.37365417,-17.18691864,-110.6862427,91.43242188,-202.1818848,90.45246582
Z PM / M1 L,-799.6834961,-540.7961426,-875.1235352,-786.8775391,-1148.208594,-1132.102734,-1176.97998,-1417.80459,684.7036133,-749.7421387,-496.1719727,-516.1352051
X Origin of incisors (superior),60.51569214,4.338426971,2.700818253,-56.28734741,-1.907523918,0.938407135,-7.578102875,-1.548696327,-0.803950214,58.53852539,68.00293579,-46.87727661
Y Origin of incisors (superior),70.56021118,-172.0493164,-167.537085,55.25779419,-52.75596924,-57.80631714,-49.45994568,-45.56265259,-140.6524536,64.66635132,-229.1470947,61.36889038
Z Origin of incisors (superior),-792.1748047,-525.521582,-861.205957,-772.769043,-1127.866797,-1116.695703,-1157.290918,-1403.283789,701.0972168,-737.2342773,-479.4564941,-492.2516602
X Mental foramen R,52.59599609,-7.059040833,-10.07111664,-69.93221436,-13.13291931,-8.071033478,-18.82276459,-13.08918762,-10.65101242,51.85537109,61.40488281,-62.59307861
Y Mental foramen R,89.5303894,-151.1532593,-147.1408813,78.90389404,-31.20900574,-41.18982849,-27.95861816,-28.61977234,-125.6478027,79.10782471,-217.743042,73.78599854
Z Mental foramen R,-809.3399902,-539.5297363,-876.3699219,-782.2621582,-1144.428906,-1130.055078,-1180.104883,-1418.289258,685.6356934,-753.2189453,-500.0634277,-504.8443359
X Mental foramen L,75.7925293,13.71855621,13.8505661,-48.80066833,9.828837585,11.5089325,3.195862198,8.051615906,7.217831421,70.76331177,81.69439087,-41.97427063
Y Mental foramen L,89.29440918,-150.8829834,-145.7748413,80.91520996,-34.52079773,-41.68226318,-27.11911316,-28.24968567,-124.0729126,79.0350708,-215.1644287,75.62950439
Z Mental foramen L,-805.1123535,-539.5880859,-876.3320313,-787.061377,-1145.037793,-1130.645898,-1174.41582,-1416.797266,686.4023926,-748.4260254,-494.5088379,-510.4555176
X Masseteric crest origin (superior) R,12.34372711,-63.4211731,-62.52980347,-119.8653076,-62.85597534,-53.79364624,-74.95782471,-58.31842041,-53.68756714,11.42567368,12.0462326,-126.5001587
Y Masseteric crest origin (superior) R,169.70448,-66.9605835,-61.32889404,163.0383911,58.40424194,42.25705261,66.16959839,48.33239136,-40.85903931,154.5194214,-147.1314331,150.7002808
Z Masseteric crest origin (superior) R,-829.4614258,-560.7512207,-897.7053711,-774.2055664,-1153.560449,-1138.177539,-1192.634082,-1417.376563,676.7782227,-779.6700684,-533.7403809,-506.9208008
X Masseteric crest origin (superior) L,115.4300537,57.03047485,62.39382935,-3.647076797,67.17506104,62.93300171,58.80576782,51.5649231,54.28067627,114.257373,120.7332275,-5.659540939
Y Masseteric crest origin (superior) L,174.052417,-57.05977783,-59.80198975,166.0831421,50.72046204,37.61996765,70.11534424,52.02758179,-45.02735291,157.6889771,-131.4390869,163.9306885
Z Masseteric crest origin (superior) L,-803.3589844,-564.1078613,-894.9694336,-801.5723145,-1160.028906,-1143.472168,-1174.23584,-1418.916113,677.4147461,-752.4103027,-502.6478027,-536.125
X Masseteric crest origin (inferior) R,33.17965088,-37.44448242,-38.47550049,-98.85116577,-38.36452637,-30.07793579,-41.06498413,-35.71499939,-33.68354187,34.07857056,45.76295166,-96.41763306
Y Masseteric crest origin (inferior) R,119.5891235,-120.5805298,-116.2699829,115.0803833,0.065086091,-11.09004745,5.146171188,0.365667653,-89.45820313,107.7164307,-193.7973633,102.0573364
Z Masseteric crest origin (inferior) R,-837.4566406,-571.6939941,-901.7444336,-797.6678711,-1168.656641,-1155.169336,-1205.685742,-1435.892969,663.9528809,-784.6470215,-532.7371094,-524.2612793
X Masseteric crest origin (inferior) L,100.7286804,39.73939819,39.82642212,-31.96712646,34.70353699,34.1825531,35.06967773,29.29111328,31.72376404,99.51411133,105.1165161,-29.27315674
Y Masseteric crest origin (inferior) L,118.9866211,-114.4540161,-114.5639771,115.845166,-5.143468857,-12.88314667,7.809561157,2.329534149,-92.18905029,108.9733154,-186.4684814,108.6292969
Z Masseteric crest origin (inferior) L,-819.2910156,-573.3749512,-901.3103516,-812.5552734,-1173.518066,-1156.778516,-1195.588281,-1436.785645,663.7447266,-769.2116699,-515.8473633,-540.3018066
X Masseteric crest CUR R 9,9.233123779,-66.15377197,-65.78088379,-122.44021,-64.9838623,-55.11663208,-75.33788452,-59.59199219,-55.12371826,10.06758881,11.33242493,-126.9411377
Y Masseteric crest CUR R 9,165.2109619,-73.08445435,-67.68623047,157.5687378,51.72401733,36.88569336,58.44762573,43.0930603,-46.48850708,149.8156128,-153.0731812,143.2938232
Z Masseteric crest CUR R 9,-834.2239258,-564.6125977,-900.2671875,-777.8929688,-1157.90957,-1142.80332,-1196.119824,-1420.346191,672.6785645,-781.9913086,-534.9842773,-507.6907227
X Masseteric crest CUR R 8,5.914664841,-68.25128174,-66.56998291,-124.2123535,-65.96879883,-56.64680176,-75.84049072,-60.2866272,-56.11279907,9.838962555,11.57264862,-126.639502
Y Masseteric crest CUR R 8,157.280896,-81.67808838,-76.4173584,150.2707275,45.16171265,30.3236084,50.23034363,37.57632141,-53.42340698,143.6994141,-160.2909668,134.7173462
Z Masseteric crest CUR R 8,-836.5085938,-564.9234375,-901.199707,-780.7717285,-1163.432031,-1147.378027,-1200.360547,-1424.225977,670.1208984,-783.5813477,-535.4697754,-507.5312012
X Masseteric crest CUR R 7,6.88862915,-67.3638916,-65.02312622,-123.5186279,-65.62576904,-55.45080566,-74.71596069,-59.28859253,-55.45876465,11.31296158,13.69546661,-126.1228394
Y Masseteric crest CUR R 7,149.6028076,-89.13029785,-83.56904297,144.3322266,38.44812317,24.00740967,42.91152039,32.5882782,-59.3734436,138.3591187,-166.1817505,127.4617432
Z Masseteric crest CUR R 7,-839.2494141,-567.0885742,-902.8368164,-785.405127,-1167.747363,-1152.044922,-1204.596973,-1428.408398,668.0411133,-785.0172852,-537.7622559,-509.9040527
X Masseteric crest CUR R 6,10.28311081,-64.41621704,-62.93625488,-121.4183716,-63.01911621,-52.93469238,-71.57845459,-57.47088013,-53.8965332,13.31886139,17.43204498,-123.6139038
Y Masseteric crest CUR R 6,142.7324585,-95.70330811,-90.2661438,138.7098755,31.72932434,17.43028259,35.35521851,27.33531189,-64.56773071,133.3278564,-171.1737671,121.4175781
Z Masseteric crest CUR R 6,-841.6636719,-569.9246582,-904.4202148,-789.9767578,-1170.966504,-1155.869727,-1207.056738,-1431.806445,665.6159668,-786.2112305,-540.1813965,-512.8368164
X Masseteric crest CUR R 5,15.08699341,-59.73642578,-59.19812622,-118.0485718,-59.46096191,-48.9248291,-65.87767944,-54.52957153,-51.39192505,16.33668213,22.01081848,-119.9910034
Y Masseteric crest CUR R 5,136.112915,-102.2601501,-96.78310547,133.0207031,24.31783142,10.55121918,28.5592926,21.8443985,-69.71226807,128.5167847,-175.8812134,115.940686
Z Masseteric crest CUR R 5,-842.9360352,-572.4382324,-905.5083008,-793.8381348,-1172.412793,-1158.087891,-1208.886914,-1434.629492,663.1971191,-787.6889648,-541.332959,-516.7553711
X Masseteric crest CUR R 4,19.98533936,-54.93250732,-55.15620728,-113.580603,-55.01890869,-44.74868164,-60.34631348,-51.08318176,-48.48579712,19.15988464,26.39992371,-115.8831055
Y Masseteric crest CUR R 4,130.4600342,-108.0627441,-102.4393188,128.4175415,18.57292023,4.960209656,22.42711487,17.30622101,-74.15194092,124.1607178,-180.0403809,112.1948975
Z Masseteric crest CUR R 4,-843.4364258,-574.1896484,-906.1274414,-796.5657715,-1173.506836,-1158.730469,-1209.215918,-1436.959766,661.1977051,-788.4230957,-541.6258301,-521.0391602
X Masseteric crest CUR R 3,24.81669769,-50.10414429,-50.72279358,-109.3004517,-49.82723999,-41.0379364,-54.51420898,-47.32927246,-45.28442078,22.46580963,31.18723145,-111.1887451
Y Masseteric crest CUR R 3,126.0615845,-113.3724609,-107.6112427,123.9897339,13.03721313,0.227575612,16.18644257,12.30695877,-79.41837769,119.3684448,-184.0897339,108.9021606
Z Masseteric crest CUR R 3,-842.9580078,-575.2781738,-906.2208008,-797.935791,-1174.502148,-1159.727832,-1209.51709,-1438.243164,660.2109375,-788.4436035,-540.6185547,-524.2383789
X Masseteric crest CUR R 2,28.0251709,-46.0861084,-46.64203186,-105.9661621,-46.63473511,-38.53398438,-49.91992493,-43.45682373,-42.34268799,25.80078735,35.69448853,-107.0792847
Y Masseteric crest CUR R 2,123.7142822,-116.8395874,-110.9510376,120.5259644,7.952947235,-4.118393326,11.39025345,8.073406219,-84.32069702,115.0174194,-187.4791138,105.6532471
Z Masseteric crest CUR R 2,-841.7389648,-575.4145508,-905.6838867,-798.1599121,-1173.895508,-1159.000586,-1209.230371,-1438.287988,660.0412598,-787.8625488,-538.8799805,-525.6668457
X Masseteric crest CUR R 1,30.58348389,-42.10615845,-42.71995544,-102.4023682,-43.43416748,-35.00407715,-45.68394775,-39.95018311,-38.68086853,29.78110352,39.84498291,-102.3980286
Y Masseteric crest CUR R 1,121.8729248,-118.9936157,-113.7057007,117.4641602,3.466212463,-7.909050751,7.739788055,3.543145752,-88.3605957,111.2086914,-191.4710083,102.9050659
Z Masseteric crest CUR R 1,-839.8800781,-574.6505859,-904.2901367,-798.04375,-1171.507227,-1157.454004,-1207.888281,-1436.944336,661.1666992,-786.5680176,-536.2467773,-525.9222168
X Masseteric crest CUR L 9,119.9549072,60.70927734,65.69926147,-2.893880844,67.54391479,64.42628174,61.00986938,52.70122681,55.4416748,116.2290527,123.6439331,-4.003512955
Y Masseteric crest CUR L 9,168.9723877,-63.51040039,-66.54938354,160.1565674,44.00031433,32.60989075,61.6956604,46.0935791,-50.87249756,152.7480469,-137.8209473,157.1240234
Z Masseteric crest CUR L 9,-806.7286621,-567.020459,-897.4507813,-806.1303223,-1164.645801,-1146.65459,-1178.158008,-1422.952734,673.6461914,-754.189502,-503.708252,-537.3315918
X Masseteric crest CUR L 8,124.2733398,64.65410156,66.40805664,-2.649772263,67.42849121,64.08166504,63.05880127,52.94448242,55.73912964,118.1625366,125.4726318,-2.418593979
Y Masseteric crest CUR L 8,162.0799316,-71.53175049,-74.43604736,153.1965698,36.7822998,27.63326721,52.70926514,40.27550964,-56.80158691,147.5422974,-144.5191895,149.2319458
Z Masseteric crest CUR L 8,-807.3731445,-567.1380371,-898.705957,-808.8645508,-1168.586914,-1151.665918,-1181.171289,-1427.153906,670.9960449,-755.0252441,-503.3576172,-536.9452637
X Masseteric crest CUR L 7,125.8095337,64.12719727,65.54509888,-5.311515427,66.74348755,62.3901123,63.59882813,51.76044312,54.31541138,118.6259644,126.2962891,-3.085750771
Y Masseteric crest CUR L 7,155.4426514,-78.51242676,-81.17776489,147.7438843,30.40656738,22.81208344,44.73522644,34.97940063,-61.89786377,142.6343994,-150.3281494,142.2375488
Z Masseteric crest CUR L 7,-810.0912598,-569.4566895,-900.7195313,-812.748584,-1171.899902,-1156.091113,-1184.48877,-1431.030469,667.9984375,-757.0060547,-505.3552246,-538.1473145
X Masseteric crest CUR L 6,124.8634033,62.26434326,63.22977905,-9.355872345,64.33651123,59.37841797,60.92664185,49.36771545,52.3512146,117.9914917,125.7766968,-5.585644531
Y Masseteric crest CUR L 6,148.9773926,-85.33240356,-87.95942383,142.133313,23.80484009,17.34834442,37.11366882,29.28252258,-67.43243408,137.7234619,-155.9297119,135.8876709
Z Masseteric crest CUR L 6,-814.3249023,-572.1250488,-902.827832,-815.9429688,-1174.800586,-1160.054688,-1187.688574,-1434.22041,665.3752441,-759.5442871,-508.4756836,-541.5191406
X Masseteric crest CUR L 5,122.4402954,59.61975098,60.38678589,-13.86142883,60.16146851,55.41773071,56.43331299,46.47211914,50.47119751,116.375708,123.8351074,-8.894082642
Y Masseteric crest CUR L 5,142.3929688,-91.72144165,-94.23933105,136.6147217,17.76458893,11.59840012,30.2081543,23.5858139,-72.32522583,133.2066162,-160.9478516,130.3265015
Z Masseteric crest CUR L 5,-817.4438965,-574.1756836,-904.5237305,-817.8838379,-1176.391504,-1162.438867,-1189.664258,-1436.288379,663.1207031,-761.704834,-511.288623,-544.2360352
X Masseteric crest CUR L 4,118.9318359,56.13192139,56.52655029,-18.26416473,54.8949585,50.84551697,51.97429199,42.69391174,47.19555969,114.1175903,121.5754639,-12.9552536
Y Masseteric crest CUR L 4,136.2377075,-97.5789978,-99.95178223,131.2789063,12.24041824,5.921100998,23.63272705,18.45269928,-76.55455322,128.9026245,-166.2627441,125.2714966
Z Masseteric crest CUR L 4,-820.3487305,-575.8530273,-905.128418,-818.5055176,-1177.37666,-1163.754395,-1191.456543,-1438.051953,661.5921387,-763.7914551,-513.3935547,-545.6426758
X Masseteric crest CUR L 3,114.4939087,52.30551147,52.2526062,-22.77295837,48.91933289,46.1407959,46.92659607,38.94881592,43.61489563,111.5917114,118.705542,-17.62423401
Y Masseteric crest CUR L 3,130.3764771,-103.2865967,-105.2674316,126.1954712,7.629369354,0.250882792,18.74951782,13.46244049,-81.09862061,124.1594482,-171.7134766,120.3714233
Z Masseteric crest CUR L 3,-821.8756836,-577.1733398,-905.2195313,-817.5663086,-1178.394922,-1163.432129,-1194.229492,-1439.162891,660.992041,-765.5839355,-515.169873,-546.2046387
X Masseteric crest CUR L 2,110.4103149,48.56386719,48.33435059,-26.12183533,44.51436768,42.59385681,43.54241333,35.91450195,40.75857544,108.4234863,115.4506592,-21.12024994
Y Masseteric crest CUR L 2,126.1723633,-107.7473267,-109.1607666,122.1744263,2.629465675,-4.907877731,14.04892273,9.018248749,-85.90526733,118.7380127,-177.2971313,115.4739624
Z Masseteric crest CUR L 2,-822.0609375,-577.1543945,-904.9612305,-816.6078125,-1177.931641,-1161.940137,-1195.068359,-1439.074512,661.1650391,-766.5658691,-516.2768066,-545.6260742
X Masseteric crest CUR L 1,105.9678833,44.4221405,44.31481018,-29.09510803,40.23081055,38.9624115,40.15989685,32.6827301,37.05736084,104.3021851,111.6197021,-25.05245819
Y Masseteric crest CUR L 1,122.4946167,-111.3569824,-112.1337524,118.7096069,-1.85198555,-9.280918884,10.28741379,5.318452835,-90.1307373,113.2607666,-182.9963623,111.2814575
Z Masseteric crest CUR L 1,-821.2088867,-575.7921875,-903.784375,-814.978418,-1176.14707,-1159.339551,-1195.105664,-1438.177441,662.1273438,-767.5040039,-516.3310547,-544.1341797
X Mandibular patch 99,34.10811768,-42.26056519,-40.28086548,-101.5325195,-36.85675354,-32.15936584,-46.17195435,-37.88263245,-33.58333435,32.54469299,35.92499084,-108.8801392
Y Mandibular patch 99,171.0678467,-64.22252808,-61.76904297,167.3705688,61.34985962,47.30505371,67.94636841,52.95917358,-40.00924683,153.0370605,-145.8438965,153.9280518
Z Mandibular patch 99,-842.9619141,-582.4204102,-915.0305664,-797.0742676,-1171.456641,-1156.190527,-1210.611035,-1435.171582,659.8781738,-793.2873535,-547.6439941,-530.6125
X Mandibular patch 98,66.85385742,-0.358185005,-2.334693909,-69.01516724,-7.826264191,-1.575927067,-6.270918274,-5.841233826,-4.492878723,64.2809021,75.53308716,-62.45030518
Y Mandibular patch 98,94.53238525,-145.090332,-144.8684082,88.36997681,-31.51315918,-40.03108215,-24.13384705,-25.89881592,-122.1553589,79.52664185,-218.3141113,77.18255005
Z Mandibular patch 98,-833.4176758,-570.1834473,-902.8453125,-808.6421875,-1172.792969,-1157.752734,-1206.791113,-1440.439453,660.2300781,-775.8914063,-524.9602539,-533.3152344
X Mandibular patch 97,62.20783691,0.59613204,-1.484671307,-63.67868652,-6.862113953,-2.316274643,-9.781997681,-5.581569672,-4.342338181,58.9982666,69.77874756,-53.55574951
Y Mandibular patch 97,74.71134033,-167.8064819,-164.133667,63.08833618,-51.2053894,-57.79043579,-47.18752747,-43.63787842,-140.4337158,63.3715271,-232.0778564,58.32942505
Z Mandibular patch 97,-811.5783203,-543.5437988,-878.759375,-789.5064941,-1145.175977,-1132.057129,-1178.080762,-1418.120117,685.648291,-751.9383301,-496.5044434,-507.2858398
X Mandibular patch 96,60.26809082,0.143951666,-2.020941734,-63.44753418,-8.071871185,-3.236429596,-11.3346405,-6.314535141,-5.399146271,56.93097534,67.44520264,-52.55459595
Y Mandibular patch 96,70.665625,-172.1410767,-168.0949463,57.38724365,-56.36281738,-61.83129272,-53.57231445,-48.39547729,-144.5751465,59.64328613,-235.7973145,54.43765259
Z Mandibular patch 96,-806.3955078,-537.9498047,-873.24375,-784.9533691,-1138.919043,-1126.23418,-1171.840234,-1412.699805,691.5737305,-746.7503418,-490.6282227,-501.3037109
X Mandibular patch 95,25.39581299,-50.01351318,-50.41282654,-109.7358276,-50.25428467,-40.96266785,-54.75689697,-47.42235107,-45.51862488,23.08023682,31.56087952,-112.0752686
Y Mandibular patch 95,126.6602783,-112.3513062,-106.9081055,125.1879395,13.80377045,1.167486954,17.12826843,13.74026794,-78.18806763,120.463208,-183.6111816,109.5826782
Z Mandibular patch 95,-846.0583984,-578.5528809,-908.8810547,-800.5432129,-1177.14248,-1162.082227,-1212.516699,-1440.782227,658.1322266,-790.3443848,-543.1481934,-526.6990723
X Mandibular patch 94,40.84708252,-34.15541992,-34.70499878,-97.56989136,-29.65497131,-26.85788879,-37.1010498,-29.13168945,-29.31991272,41.70181885,47.84131775,-99.24457397
Y Mandibular patch 94,152.8061035,-87.00512695,-83.08607788,147.8984863,35.60287476,21.74758453,42.37584839,33.6138855,-61.46746826,133.7930054,-164.5535522,131.6537231
