Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2129,Koala_NR2112,Koala_NR2113,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo_Mandible,Koala_Brenda_Mandible,Koala_Cascade_Mandible,Koala_Cedar_Mandible,Koala_Crockett_Mandible,Koala_Eddie_Mandible,Koala_Mandy_Mandible
Z Symphyseal groove CUR 4,-664.2282227,-662.048291,-664.3378906,-666.9033691,-668.282373,-669.066748,-601.2522461,-607.7716309,-598.7762695,-605.5157715,-604.8495605,-608.1242676,-856.6944336,-861.0089844,-858.7861328,-857.184082,-856.7633789,-856.9169922,-857.2041992,-854.4523438,-1276.182324,-1275.267383,-1270.760547,-1229.158398,-1274.616602,-1272.127246,-1295.820508
X Symphyseal groove CUR 3,44.29684448,-57.45807495,49.12973633,-50.85884399,50.70210571,-44.7779541,61.73754272,-28.62669373,64.77402954,-21.26228333,68.40650024,-19.17280426,-56.85071411,24.19123535,-48.37043762,35.34630737,-55.43161621,35.51103516,-47.20737915,44.03288269,4.063367844,2.722349548,4.809796143,-14.17708282,4.513637161,8.076899719,4.108389664
Y Symphyseal groove CUR 3,-156.5065308,-126.3299316,99.05247803,80.65026245,341.8320068,303.8549072,-155.0545898,-142.6477173,99.74105835,80.36834717,321.7908203,317.9674072,-121.9717651,-118.4258423,110.713562,108.7848999,351.8977295,316.321167,588.4609375,553.2356934,2.604808807,-5.818108749,-5.776930237,55.02860718,-11.14559479,-18.16049957,5.289067841
Z Symphyseal groove CUR 3,-666.0480957,-663.5703613,-665.3836426,-667.9838379,-669.2467773,-669.8928711,-602.9543457,-608.6471191,-599.9060059,-606.7268066,-605.7932617,-609.3683105,-857.3893555,-861.9319336,-859.7041016,-857.9058594,-858.0583008,-858.3146484,-858.0891602,-856.2345703,-1277.225195,-1276.469434,-1271.97998,-1227.905371,-1276.033594,-1273.795117,-1296.413867
X Symphyseal groove CUR 2,44.52620544,-57.5595459,49.32011719,-51.00442505,50.87534485,-44.68948669,62.24221191,-28.58946533,64.96421509,-21.43831482,68.66234741,-19.32883301,-57.05914307,24.18801575,-48.66371765,35.47738037,-55.61696167,35.83104553,-47.25755615,44.56478271,4.396446609,3.217304611,4.801536942,-14.01356506,4.815800476,8.057299805,4.098327255
Y Symphyseal groove CUR 2,-153.4452026,-124.3001587,101.6699158,82.91467285,344.1016846,307.0517578,-151.5783569,-139.9470947,102.0720154,83.2430603,325.1347656,320.1005859,-119.4609863,-115.2949829,113.4685669,110.7240112,354.8212158,319.0700928,590.4467773,556.2534668,4.677814865,-3.793636322,-3.933680725,56.54260864,-8.602277374,-15.43200073,7.598252869
Z Symphyseal groove CUR 2,-667.5758789,-664.9465332,-666.2127441,-669.0441895,-670.1789063,-670.6149414,-604.3700195,-609.6682617,-601.6031738,-608.0027832,-606.7189453,-610.5178223,-857.996875,-862.5899414,-860.4321289,-858.9306641,-858.9493164,-859.3875977,-858.9950195,-857.5956055,-1278.401074,-1277.583203,-1273.609668,-1226.731445,-1277.336035,-1275.309375,-1296.655371
X Symphyseal groove CUR 1,44.75821228,-57.75285645,49.54421082,-51.18741455,51.02601318,-44.75772095,62.66570435,-28.64241028,65.18370361,-21.64717712,68.93042603,-19.50151062,-57.34247437,24.095578,-48.98271179,35.74196167,-55.91171265,36.17278442,-47.356604,45.2410675,4.705134201,3.792688751,4.707330322,-13.82129059,4.871770477,8.240699768,4.108900833
Y Symphyseal groove CUR 1,-150.1589722,-121.7579712,104.5293945,85.56166992,346.4940918,310.7696289,-147.7106079,-136.792981,104.7547241,86.11885986,329.0181641,322.3539795,-116.8428345,-111.8100464,116.1148315,112.8922119,357.740625,321.8727295,592.5833496,559.6091797,7.128431702,-1.748409462,-2.017540932,58.14247437,-5.976159668,-12.95639954,10.00397949
Z Symphyseal groove CUR 1,-668.9275879,-666.5312012,-667.2001953,-670.0955566,-671.6375977,-672.0655273,-605.9296875,-610.9758301,-603.6803711,-610.4193359,-607.6855957,-611.7346191,-858.6816406,-863.5730469,-861.3224609,-860.4168945,-860.231543,-860.5633789,-860.1226563,-859.2469727,-1279.866797,-1278.974121,-1276.036523,-1225.350488,-1278.949609,-1277.672168,-1297.284766
X Superior midline CUR 9,41.90903625,-55.53376465,46.38311157,-49.98141174,48.86144714,-43.39766846,57.37791138,-28.19060974,62.77982178,-20.44294281,65.95980835,-17.95937195,-54.60825195,21.98900909,-45.66541748,32.95063477,-52.96547241,33.05004883,-46.46246338,41.87548828,2.757544899,-0.361930633,3.032832909,-14.27901459,2.775776482,6.325099945,2.548370743
Y Superior midline CUR 9,-159.788269,-127.9516113,95.85690308,73.96860962,336.2351807,298.3812012,-160.2046021,-146.3917114,97.1744873,76.11109009,317.8963135,315.1344238,-127.2846436,-124.3340332,107.0032471,104.9596924,345.748291,314.0707031,585.9554688,550.5214355,0.339636159,-8.590498352,-6.879556274,50.31282959,-15.28149567,-20.64779968,-0.23412087
Z Superior midline CUR 9,-650.26875,-651.7836426,-652.0791504,-655.657959,-655.0574707,-656.3730469,-588.456543,-596.7007813,-586.4686523,-593.1162109,-592.5194824,-596.6805664,-844.3866211,-849.0959961,-845.0849609,-846.4536133,-844.4557617,-845.3226563,-846.8891602,-840.7975586,-1264.610254,-1264.497559,-1261.222852,-1241.820215,-1262.241992,-1259.676953,-1285.449902
X Superior midline CUR 8,41.94759216,-55.62767944,46.50804749,-49.99417725,49.01040344,-43.37947388,57.60817261,-28.22411804,62.73668823,-20.47741699,65.89873047,-18.1324585,-54.77350464,22.2670929,-45.80405273,33.05859375,-53.17080078,33.34299622,-46.50237427,42.22617188,2.869651794,0.156050622,2.797834015,-13.89765167,2.846510315,6.07519989,2.459495544
Y Superior midline CUR 8,-155.7940796,-125.9773926,98.66808472,77.40935059,339.6630615,300.8890137,-156.6463379,-143.9658936,99.89454346,79.34500122,320.4450928,317.9847412,-123.6587891,-121.4187988,110.0473999,107.3963623,349.7099121,316.8745361,588.1253418,553.3022461,3.002647591,-5.434477615,-4.979257202,53.93582153,-11.11053238,-17.32100067,2.289935303
Z Superior midline CUR 8,-651.6612305,-652.2247559,-652.7062012,-656.1613281,-655.7369141,-656.685791,-589.0899902,-596.989502,-586.9648438,-593.8295898,-592.7013184,-597.5118652,-844.428418,-849.3564453,-845.4511719,-846.8617188,-845.2219727,-845.7475586,-847.1587891,-841.7469727,-1265.285449,-1265.275488,-1262.060449,-1240.819824,-1262.970215,-1261.055859,-1285.210547
X Superior midline CUR 7,42.01155701,-55.74224243,46.66731873,-50.09682922,49.11313171,-43.3777832,58.07647095,-28.24083862,62.75566406,-20.49923553,65.9456665,-18.3668869,-54.89118042,22.47709656,-45.98966064,33.24650574,-53.43234863,33.7356842,-46.54466858,42.64745178,2.994402504,0.739492512,2.602306938,-13.51144257,2.978436279,5.959600067,2.395733833
Y Superior midline CUR 7,-152.1373047,-123.8487915,101.5891479,80.71859741,342.8377197,303.8343018,-152.9109375,-141.0795532,102.7255737,82.54519043,323.3242188,320.728418,-120.1809814,-118.3005005,113.2269653,109.8891602,353.5895752,319.8376953,590.3003418,556.3241211,5.538977051,-2.499870682,-2.939123726,57.29373779,-7.177506256,-13.99730072,4.957736588
Z Superior midline CUR 7,-652.8848633,-652.9620605,-653.4907715,-656.5878418,-656.3810059,-657.0291016,-590.034375,-597.4181152,-587.7914551,-594.8893555,-592.9407715,-598.5148438,-844.9600586,-849.6933594,-845.6953125,-847.6180664,-846.2194336,-846.4333984,-847.5775391,-842.7954102,-1266.220508,-1266.601074,-1263.125293,-1239.668066,-1263.797168,-1262.297266,-1284.954883
X Superior midline CUR 6,42.24664917,-55.91067505,47.05467529,-50.20903931,49.16627808,-43.37262573,58.64863892,-28.1830719,62.92796021,-20.60599365,66.23519287,-18.49211426,-55.23303833,22.6412262,-46.36222534,33.46365662,-53.7138916,34.1076416,-46.63302612,43.14624329,3.216872406,1.254544926,2.416361427,-13.21517181,3.206440353,5.944400024,2.315065384
Y Superior midline CUR 6,-148.6141968,-121.5552612,104.7832886,84.0473938,346.0653076,307.380835,-148.8081055,-137.7855103,105.6726196,85.72803955,326.7096924,323.6343506,-117.0284058,-114.7332642,116.464856,112.7186035,357.1823975,323.2576416,592.8543945,559.6415527,8.355303192,0.470337439,-0.472056866,60.24540405,-3.587392807,-10.75930023,7.863489532
Z Superior midline CUR 6,-654.2394531,-654.2602539,-654.2713867,-657.0334961,-657.3318359,-657.6389648,-591.0989258,-598.1722168,-589.6268066,-596.6632813,-593.7047852,-599.9352051,-846.1686523,-850.3112305,-847.2639648,-848.8607422,-847.4544922,-847.4114258,-848.4039063,-844.2443359,-1267.461426,-1267.914258,-1264.655859,-1238.156738,-1265.19873,-1264.025195,-1284.974512
X Superior midline CUR 5,42.4984436,-56.17166748,47.48916626,-50.39627991,49.24247742,-43.39139709,59.19686279,-28.18316345,63.21201172,-20.86817169,66.60913696,-18.75424652,-55.6581604,22.95842743,-46.78629761,33.6505127,-54.02319336,34.57728271,-46.80257874,43.6552887,3.601696396,1.785321617,2.236972237,-12.98997345,3.420650101,5.807899857,2.171806717
Y Superior midline CUR 5,-145.162915,-119.330896,108.0008545,87.18676147,349.0298828,311.1833252,-144.9509888,-134.3488281,108.2783447,88.77510986,330.1397705,326.3354248,-114.3024292,-111.035083,119.1676147,115.5651001,360.3030518,326.698999,595.5707031,562.9891113,11.22582397,3.396570587,1.889199448,62.67156372,-0.261687112,-7.763400269,10.83460999
Z Superior midline CUR 5,-655.7573242,-656.3494629,-655.7236328,-658.4867676,-658.7914063,-658.4077148,-592.8193359,-599.4448242,-591.9423828,-598.7475586,-594.9958008,-601.899707,-847.7521484,-851.3960938,-849.2804688,-850.4100586,-849.0014648,-848.9424805,-849.737793,-846.2043945,-1269.131836,-1268.849316,-1266.773145,-1236.50625,-1266.733496,-1265.910938,-1284.668555
X Superior midline CUR 4,42.84417725,-56.54761353,48.04388123,-50.42157593,49.48896484,-43.53996887,60.13711548,-28.27082214,63.58150635,-21.32136383,67.19796143,-18.93831787,-56.16309814,23.43843384,-47.27806702,34.07774963,-54.43439331,35.21367493,-47.02245483,44.30130615,4.130411911,2.483647919,2.069169807,-12.87271576,3.740921021,6.08219986,2.387347412
Y Superior midline CUR 4,-142.0439331,-117.2425903,110.7877686,90.3977356,351.6979248,315.1920898,-141.5214233,-130.7302856,110.6554321,91.68070068,333.6419678,328.8091064,-111.8829346,-107.7139893,122.0524658,118.6554443,363.1306885,330.059668,598.3673828,566.3303223,14.1453186,6.098919678,4.474831772,64.6848877,2.697132683,-4.897900009,14.26766357
Z Superior midline CUR 4,-658.4868652,-659.0462402,-658.3447266,-660.5756836,-661.1321777,-660.3442871,-595.7485352,-601.5395996,-595.0475098,-601.3658203,-597.4134277,-604.7478027,-850.009082,-854.0135742,-851.6054688,-852.4989258,-851.3094727,-851.2086914,-851.9521484,-848.7480469,-1271.45293,-1270.780371,-1269.074414,-1234.147852,-1269.208496,-1268.328711,-1286.454395
X Superior midline CUR 3,43.34390259,-56.97874146,48.71424561,-50.7110321,49.94103699,-43.81980896,61.14910889,-28.32134705,64.06881104,-21.4426178,67.93502197,-18.85858002,-56.75950317,23.78453217,-47.88983459,34.65332947,-54.91375122,35.98139648,-47.26179504,45.0337738,4.59642334,3.011053848,2.445821571,-12.98363037,4.163458633,6.309500122,2.672105408
Y Superior midline CUR 3,-140.8090576,-115.7676147,111.6016357,92.06217651,353.1002197,317.4003662,-139.7658569,-128.9102661,111.4727173,92.831604,335.2620117,330.9023682,-111.0215576,-105.690332,124.1419556,120.2834961,364.6296387,331.2324463,599.9291016,567.754834,15.79972534,5.91568222,5.600829697,65.0992981,3.315983963,-3.893899918,15.4364975
Z Superior midline CUR 3,-662.2943848,-661.6645996,-662.0204102,-663.6185547,-664.220459,-663.6908691,-599.3953613,-604.756543,-598.4368164,-604.7309082,-600.8094727,-607.3815918,-852.8736328,-857.1296875,-854.5035156,-855.2609375,-854.1888672,-854.5413086,-854.7740234,-852.2378906,-1274.202734,-1273.616309,-1271.750586,-1231.03877,-1272.745117,-1271.58916,-1289.670215
X Superior midline CUR 2,43.95018616,-57.49437866,49.51423035,-51.13854065,50.49539185,-44.35906372,62.19066162,-28.50608826,64.56567993,-21.49906464,68.54753418,-18.99712982,-57.39269409,24.04821014,-48.67991943,35.14134521,-55.51975098,36.31712036,-47.39320679,45.53062744,4.700880814,3.463985443,3.180173111,-13.20804443,4.56103363,6.968000031,3.26116333
Y Superior midline CUR 2,-141.9829224,-115.6910156,110.9708984,91.58345337,352.4787354,316.8887695,-139.5994019,-129.520105,110.9258301,92.37382813,335.3654053,331.4088623,-111.6675171,-105.3154053,123.5586914,119.3470581,364.368457,329.8967041,599.4373047,566.7612793,14.47246094,4.147731781,5.057963562,63.69590454,1.319732189,-4.292699814,15.91809387
Z Superior midline CUR 2,-666.205957,-664.5993652,-665.9472656,-667.0763184,-667.8365723,-667.8269043,-603.6157227,-608.4481445,-601.8456543,-608.335791,-604.6616211,-610.6476563,-856.0005859,-860.8731445,-858.6040039,-858.418457,-857.6569336,-858.0180664,-858.1686523,-856.0185547,-1277.599023,-1276.428711,-1274.586133,-1227.773145,-1276.188672,-1275.271094,-1293.313281
X Superior midline CUR 1,44.39963379,-57.8036438,49.88042908,-51.32622681,50.87670288,-44.59780273,62.77920532,-28.62841797,64.87769165,-21.66997833,68.98247681,-19.38660126,-57.71987915,24.16410217,-48.99772339,35.56888733,-55.91315308,36.48808899,-47.45030518,45.67390442,4.882889938,4.039912033,3.840360641,-13.30727844,4.952113724,7.456400299,3.662685013
Y Superior midline CUR 1,-143.9868652,-116.9717529,109.835376,90.56768799,350.7064209,315.7732178,-141.2353394,-131.3607422,109.4751953,91.16660767,334.4989502,328.7412842,-112.9684692,-106.6521362,121.1835938,117.6426514,362.8804932,327.5509766,597.6835449,564.7354004,12.20100784,2.29145031,3.21275444,61.96587524,-0.956867313,-6.208599854,14.90082092
Z Superior midline CUR 1,-668.6871094,-666.1615723,-668.2249512,-669.5562012,-670.2544434,-670.9097168,-606.1875,-610.7370605,-603.6547852,-610.7853516,-607.0667969,-611.9182129,-858.1112305,-863.1900391,-860.8273438,-860.303125,-860.093457,-860.2633789,-860.3073242,-858.446875,-1279.806543,-1278.600488,-1276.529199,-1225.438574,-1278.62041,-1277.905176,-1296.189746
X PM / M1 R,30.29360352,-64.76289673,34.91755066,-59.50473022,36.81419678,-54.60235596,46.77377319,-38.40665894,51.55933838,-31.58749084,54.3961731,-29.00589905,-64.92766113,12.02454987,-57.54841919,22.93403778,-63.95656738,23.32470398,-56.03977051,31.10276794,-8.246615601,-9.419898224,-7.82122879,-2.176189041,-8.984131622,-7.561100006,-8.144236755
Y PM / M1 R,-148.7125488,-119.4608521,106.9367676,84.23984375,346.741748,310.1415527,-145.7986206,-135.5925903,106.9147583,89.36044922,328.2614014,324.9724609,-115.7974731,-112.5328003,114.3170776,113.1133423,359.9166992,326.1558105,592.9247559,563.5221191,11.02964706,3.646406555,1.177927113,59.74362793,-0.736593628,-7.707700348,8.452189636
Z PM / M1 R,-649.984082,-649.9367676,-652.1521973,-653.7546387,-655.1706055,-651.2586426,-591.0939453,-594.4790039,-589.0400879,-592.6606934,-593.7126465,-595.7857422,-841.0777344,-848.9854492,-840.7671875,-847.9108398,-840.5411133,-846.480957,-845.5001953,-841.6400391,-1266.213477,-1266.831445,-1264.270996,-1242.403809,-1261.197461,-1258.844141,-1284.210352
X PM / M1 L,53.50303345,-45.20325012,58.1272583,-39.8996582,60.47045898,-29.47658691,70.45388184,-16.9700119,74.4055481,-9.033831787,77.64912109,-7.275872803,-43.90901184,34.25606689,-33.60993958,43.90153809,-42.72055664,44.86013184,-36.89479675,54.11624756,14.60406189,11.21303024,11.27113495,-24.18356934,16.01796875,18.05679932,12.2150383
Y PM / M1 L,-147.5221069,-120.2842041,105.6023438,83.62958984,347.1462891,309.3799072,-146.6299438,-135.8742065,107.9769775,89.03644409,328.0705811,325.3237305,-115.127356,-113.5257324,115.472998,113.6567017,359.0931152,324.6007568,592.1517578,561.3027344,9.592101288,1.434244156,4.34168663,61.15606689,-1.656271744,-5.722700119,8.630964661
Z PM / M1 L,-647.2499512,-653.4945313,-649.4907715,-656.6196289,-651.0128418,-654.2594727,-585.2979492,-596.4582031,-586.321875,-594.3801758,-588.8980469,-596.5834961,-845.7646484,-847.7128906,-845.0935547,-844.6174805,-844.7325195,-843.2147461,-846.9711914,-837.6922852,-1262.677539,-1263.207227,-1260.058496,-1243.053613,-1259.384277,-1256.871191,-1281.054785
X Origin of incisors (superior),41.83591614,-55.26802979,46.29971619,-50.00974731,48.82703247,-43.41143799,57.13624268,-28.12394714,63.13222656,-20.68557129,66.05899658,-17.87276459,-54.18582153,21.79903107,-45.40736694,33.04387207,-52.77300415,32.8934021,-46.38612976,41.46319885,2.615893555,-0.678613615,3.330126572,-14.52111511,2.696793938,6.448899841,2.728509712
Y Origin of incisors (superior),-164.9924194,-129.8155762,93.36829834,70.19089355,332.6431885,295.7556641,-163.3535034,-148.3315552,94.5678772,72.99423828,315.3489014,312.167041,-130.4952881,-127.1591187,104.2860474,102.2261169,342.3735352,311.3624268,583.7239258,547.8511719,-2.35241375,-11.15505524,-8.986883545,47.68833923,-19.76440125,-24.09550018,-2.764173889
Z Origin of incisors (superior),-648.3401367,-651.3598145,-651.5027832,-655.5725586,-654.3394531,-655.970752,-587.8606934,-596.4888672,-585.929834,-592.5705566,-592.5029785,-595.9933105,-844.4099609,-848.9419922,-844.6851563,-846.2391602,-843.6517578,-844.7857422,-846.7467773,-839.5835938,-1264.353711,-1263.975098,-1260.526074,-1242.776367,-1260.870898,-1258.055664,-1285.449805
X Mental foramen R,33.8882019,-62.49679565,40.32390747,-56.66444702,42.65079346,-49.58108521,51.84763184,-34.8184906,56.15910034,-27.1206543,60.00671387,-25.1758194,-62.89979248,16.61648102,-55.2130188,27.05477905,-61.05386353,27.4447876,-52.50844116,35.26910706,-3.392374039,-4.746686554,-1.144938469,-6.906544495,-3.450128174,0.822099972,-3.045048523
Y Mental foramen R,-154.2319946,-124.7801147,100.4421631,79.69549561,341.7053955,301.8922119,-154.4953613,-142.6200806,99.23997192,80.63960571,320.9708008,318.8779541,-122.014209,-119.4309692,111.0422241,109.3011597,352.5987549,318.2627686,588.4862305,554.8771973,4.917754745,-2.862143707,-5.579624557,55.60863647,-9.330334473,-17.41809998,4.16835022
Z Mental foramen R,-658.4855469,-654.739209,-658.2449219,-660.6576172,-662.8903809,-659.748584,-595.5583984,-599.510791,-594.4258789,-598.2290039,-598.7389648,-601.9373047,-848.2310547,-854.5053711,-850.9871094,-852.0601563,-848.9323242,-851.9658203,-850.721582,-848.3078125,-1269.895508,-1271.527637,-1266.139746,-1234.107031,-1269.860254,-1266.407422,-1291.953125
X Mental foramen L,51.35131226,-50.3224823,54.37994995,-42.99744873,57.22863159,-37.60360107,66.01209717,-21.68808594,71.97815552,-14.02042694,73.43053589,-11.94291,-48.01584167,29.26993408,-38.68119202,40.37547607,-47.35135803,40.84741821,-39.94823914,50.46697083,9.223004913,7.182917786,8.358402252,-20.98390198,11.08249359,13.55010071,9.972650909
Y Mental foramen L,-154.6581909,-125.8557861,99.36228638,80.46330566,342.1318848,301.9296631,-155.9903076,-142.6029175,100.5215454,80.59274292,320.7386475,319.5118408,-120.4190063,-120.1680054,112.1367676,108.4980591,352.6405518,316.6074463,589.2378906,553.0439941,3.407544327,-5.268106842,-4.304744339,57.47446899,-10.0594574,-15.68059998,4.955916977
Z Mental foramen L,-656.3620605,-656.4094238,-656.5256348,-661.7842285,-661.2138184,-660.9247559,-592.6525879,-600.2061035,-592.1987793,-598.4876953,-596.0899902,-602.8381348,-851.9728516,-853.4498047,-853.8837891,-850.081543,-850.8828125,-849.0657227,-852.2489258,-846.712793,-1268.05127,-1268.809961,-1264.822656,-1233.856738,-1269.036719,-1265.496582,-1290.481934
X Masseteric crest origin (superior) R,9.960816193,-76.97990112,17.07654114,-72.62168579,15.8161438,-68.00397949,25.49465332,-55.27453613,33.30551453,-47.6521637,33.16111755,-45.82111206,-77.31309204,-5.069444656,-72.86534424,3.409163284,-77.39096069,3.113808823,-69.41029663,14.6087616,-24.38278046,-22.98281708,-35.70353699,19.70743408,-24.06812744,-29.80239868,-27.17693176
Y Masseteric crest origin (superior) R,-78.6270813,-65.14252319,171.8565063,137.7648804,403.7123779,376.3535889,-80.03651123,-78.91713867,166.334021,150.4771362,390.0517334,382.8937012,-56.0772583,-54.96087036,179.8413452,168.375647,423.7378418,388.8555908,643.5090332,632.7365723,68.97267456,58.3637207,51.82996826,112.2604614,61.00665894,52.5867981,55.73639526
Z Masseteric crest origin (superior) R,-638.9470215,-633.2131348,-634.5056152,-627.1847168,-634.7063477,-622.7694336,-573.842627,-573.0522461,-571.732373,-574.8339844,-572.0827148,-575.8900879,-813.7570801,-827.1929688,-812.1353516,-831.7980469,-818.5949219,-826.0496094,-827.0547852,-824.2973633,-1251.508984,-1255.956934,-1256.192773,-1256.942871,-1250.375781,-1246.952344,-1261.680176
X Masseteric crest origin (superior) L,71.36713867,-27.05527954,76.45101929,-20.38146515,75.41732788,-3.608545685,87.88585815,4.954187393,86.80778198,10.49716949,91.54353638,7.255078888,-22.90804291,54.53234863,-11.37229691,59.87958374,-17.60264587,63.97453613,-19.25917053,77.83400879,30.0375885,29.65623474,16.5158844,-36.65787964,34.19587097,31.22709961,22.39284058
Y Masseteric crest origin (superior) L,-78.88359985,-65.07092285,168.2170654,137.4572144,402.8687988,372.4644287,-82.77233887,-80.72793579,168.6107056,148.869165,388.3909912,384.5100342,-55.17015381,-58.42668457,180.219519,168.049292,421.4575195,385.8106934,642.988916,627.5720215,68.10176392,52.46455078,60.11557617,117.679248,59.29614258,57.39869995,54.98305664
Z Masseteric crest origin (superior) L,-628.2061035,-640.7607422,-624.1928223,-632.9579102,-625.2375488,-629.9635254,-560.0555664,-578.1272949,-564.367334,-581.0896484,-557.9639648,-577.754541,-825.3984375,-823.1038086,-820.2693359,-825.0011719,-828.2581055,-815.4287598,-833.224707,-814.5351074,-1245.415234,-1245.053613,-1248.795508,-1258.070313,-1244.615234,-1240.402637,-1253.69707
X Masseteric crest origin (inferior) R,25.45491791,-71.5418335,31.01976013,-67.62622681,32.96544495,-60.77194214,43.22680054,-45.89792786,45.16096497,-40.67240906,49.13842163,-38.01602783,-74.79768066,6.149568176,-67.99434814,15.47378082,-73.33968506,18.89852753,-64.67269287,27.23651733,-14.63847504,-11.02644958,-19.69971771,6.42782135,-11.39186935,-13.22630005,-15.30187225
