,x
603,2
604,1
605,2
606,2
607,2
608,2
609,1
610,2
611,2
612,2
613,2
614,1
615,2
616,3
617,2
618,2
619,2
620,2
621,1
622,2
623,2
624,1
625,2
626,2
627,1
628,2
629,2
630,2
631,1
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,3
645,2
646,2
647,2
648,2
649,1
650,3
651,2
652,2
653,2
654,2
655,2
656,2
657,1
658,2
659,2
660,2
661,1
662,2
663,2
664,3
665,2
666,2
667,2
668,1
669,2
670,2
671,2
672,1
673,2
674,2
675,2
676,2
677,2
678,2
679,3
680,1
681,2
682,2
683,2
684,3
685,1
686,2
687,3
688,2
689,2
690,2
691,1
692,1
693,3
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,3
707,2
708,2
709,2
710,2
711,2
712,2
713,3
714,3
715,2
716,3
717,1
718,2
719,2
720,3
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,1
730,2
731,2
732,2
733,1
734,3
735,2
736,2
737,2
738,1
739,2
740,2
741,1
742,2
743,2
744,1
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,1
755,2
756,1
757,1
758,3
759,2
760,1
761,2
762,3
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,1
778,2
779,2
780,2
781,2
782,1
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,1
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,3
811,3
812,3
813,3
814,3
815,2
816,2
817,3
818,3
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
